08.04.2009;14:01:00;0;5490;0;49;288;225,8;281,1;0;0;0
08.04.2009;14:02:00;0;5470;0;29;170;;;0;0;0
08.04.2009;14:03:00;0;5476;0;35;207;;;0;0;0
08.04.2009;14:04:00;0;5491;0;50;295;;;0;0;0
08.04.2009;14:05:00;0;5469;0;28;169;;;0;0;0
08.04.2009;14:06:00;0;5557;0;116;687;336,4;;0;0;0
08.04.2009;14:07:00;0;5513;0;72;426;;;0;0;0
08.04.2009;14:08:00;0;5476;0;35;208;;;0;0;0
08.04.2009;14:09:00;0;5472;0;31;182;;;0;0;0
08.04.2009;14:10:00;0;5471;0;30;179;;;0;0;0
08.04.2009;14:11:00;0;5462;0;21;125;195,8;205,5;0;0;0
08.04.2009;14:12:00;0;5464;0;23;139;;;0;0;0
08.04.2009;14:13:00;0;5481;0;40;235;;;0;0;0
08.04.2009;14:14:00;0;5479;0;38;227;;;0;0;0
08.04.2009;14:15:00;0;5484;0;43;253;;;0;0;0
08.04.2009;14:16:00;0;5473;0;32;193;215,2;;0;0;0
08.04.2009;14:17:00;0;5483;0;42;250;;;0;0;0
08.04.2009;14:18:00;0;5491;0;50;298;;;0;0;0
08.04.2009;14:19:00;0;5465;0;24;144;;;0;0;0
08.04.2009;14:20:00;0;5473;0;32;191;;;0;0;0
08.04.2009;14:21:00;0;5482;0;41;245;199;174,5;0;0;0
08.04.2009;14:22:00;0;5486;0;45;265;;;0;0;0
08.04.2009;14:23:00;0;5480;0;39;231;;;0;0;0
08.04.2009;14:24:00;0;5465;0;24;142;;;0;0;0
08.04.2009;14:25:00;0;5460;0;19;112;;;0;0;0
08.04.2009;14:26:00;0;5465;0;24;142;150;;0;0;0
08.04.2009;14:27:00;0;5464;0;23;137;;;0;0;0
08.04.2009;14:28:00;0;5461;0;20;122;;;0;0;0
08.04.2009;14:29:00;0;5474;0;33;197;;;0;0;0
08.04.2009;14:30:00;0;5467;0;26;152;;;0;0;0
08.04.2009;14:31:00;0;5453;0;12;74;172,2;189,8;0;0;0
08.04.2009;14:32:00;0;5473;0;32;191;;;0;0;0
08.04.2009;14:33:00;0;5466;0;25;151;;;0;0;0
08.04.2009;14:34:00;0;5475;0;34;202;;;0;0;0
08.04.2009;14:35:00;0;5482;0;41;243;;;0;0;0
08.04.2009;14:36:00;0;5487;0;46;273;207,4;;0;0;0
08.04.2009;14:37:00;0;5467;0;26;153;;;0;0;0
08.04.2009;14:38:00;0;5482;0;41;246;;;0;0;0
08.04.2009;14:39:00;0;5476;0;35;209;;;0;0;0
08.04.2009;14:40:00;0;5467;0;26;156;;;0;0;0
08.04.2009;14:41:00;0;5459;0;18;105;142,2;178,3;0;0;0
08.04.2009;14:42:00;0;5457;0;16;96;;;0;0;0
08.04.2009;14:43:00;0;5476;0;35;206;;;0;0;0
08.04.2009;14:44:00;0;5466;0;25;148;;;0;0;0
08.04.2009;14:45:00;0;5467;0;26;156;;;0;0;0
08.04.2009;14:46:00;0;5484;0;43;256;214,4;;0;0;0
08.04.2009;14:47:00;0;5483;0;42;247;;;0;0;0
08.04.2009;14:48:00;0;5486;0;45;268;;;0;0;0
